SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1129	272	272
2237	369	369
3344	369	369
4451	369	369
5558	369	369
6666	369	369
7773	369	369
8880	369	369
9988	369	369
11095	369	369
12202	369	369
13310	369	369
14417	369	369
15524	369	369
16632	369	369
17739	369	369
18846	369	369
19954	369	369
21061	369	369
22168	369	369
23173	259	259
24178	41	41
25183	41	41
26188	41	41
27192	41	41
28197	41	41
29202	41	41
30207	41	41
31211	41	41
32216	41	41
33221	41	41
34226	41	41
35231	41	41
36235	41	41
37240	41	41
38245	41	41
39250	41	41
40255	41	41
