SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1006	312	312
2011	369	369
3016	369	369
4021	369	369
5025	369	369
6030	369	369
7076	369	369
8081	369	369
9086	369	369
10090	369	369
11136	369	369
12141	369	369
13146	369	369
14150	369	369
15196	369	369
16201	369	369
17206	369	369
18211	369	369
19256	369	369
20261	369	369
21266	369	369
22271	369	369
23317	369	369
24321	369	369
25326	369	369
26331	369	369
27377	369	369
28382	369	369
29383	389	389
30402	400	400
31421	450	450
32433	433	433
33435	451	451
34492	440	440
35493	451	451
36509	434	434
37522	425	425
38535	438	438
39558	408	408
40561	422	422
41571	428	428
42584	420	420
43591	438	438
44592	421	421
45635	440	440
46636	475	475
47645	393	393
48685	429	429
49702	452	452
50721	415	415
51742	438	438
52766	400	400
53785	455	455
54788	400	400
55791	423	423
56814	460	460
57871	427	427
58916	401	401
59926	467	467
60927	421	421
61953	418	418
62954	414	414
63956	428	428
64980	454	454
65989	441	441
66994	423	423
68001	414	414
69004	427	427
70020	432	432
71042	457	457
72058	474	474
73075	468	468
74094	431	431
75108	439	439
76127	450	450
77138	434	434
78142	426	426
79164	443	443
80172	414	414
81174	442	442
82191	447	447
83205	466	466
84219	453	453
85276	437	437
86278	410	410
87292	452	452
88334	466	466
89352	440	440
90371	465	465
91391	484	484
92392	452	452
93397	437	437
94416	477	477
95421	438	438
96424	466	466
97457	447	447
98547	439	439
99564	443	443
100592	455	455
101602	434	434
102677	409	409
103723	466	466
104725	457	457
105736	426	426
106756	467	467
107765	455	455
108774	467	467
109790	492	492
110798	464	464
111901	482	482
112919	468	468
113939	492	492
114951	446	446
115997	411	411
117057	466	466
118073	483	483
119080	467	467
120097	438	438
121112	472	472
122122	498	498
123282	464	464
124290	497	497
125308	502	502
126323	410	410
127351	442	442
128361	468	468
129404	458	458
130525	432	432
131537	481	481
132548	457	457
133558	457	457
134582	465	465
135586	482	482
136598	422	422
137610	422	422
138616	419	419
139632	429	429
140651	461	461
141674	455	455
142699	478	478
143707	462	462
144724	441	441
145733	394	394
146755	433	433
147772	409	409
148784	422	422
149814	469	469
150851	455	455
151867	448	448
152888	461	461
153890	467	467
154916	412	412
155928	422	422
156939	428	428
157951	452	452
158972	462	462
159981	499	499
161001	446	446
162053	466	466
163057	434	434
164060	448	448
165073	490	490
166074	417	417
167123	443	443
168138	455	455
169156	439	439
170215	441	441
171228	463	463
172230	495	495
173242	483	483
174248	421	421
175254	469	469
176313	493	493
177357	493	493
178361	465	465
179368	472	472
180395	476	476
181446	503	503
182455	493	493
183464	518	518
184473	473	473
185507	444	444
186536	465	465
187554	527	527
188556	497	497
189562	480	480
190583	501	501
191584	490	490
192586	471	471
193606	500	500
194650	451	451
195651	452	452
196656	469	469
197726	472	472
198732	448	448
199768	462	462
200785	469	469
201793	456	456
202840	492	492
203846	486	486
204850	477	477
205863	475	475
206875	458	458
207912	498	498
208918	444	444
209927	487	487
210936	519	519
211952	468	468
212970	495	495
213985	467	467
214986	474	474
216013	471	471
217019	509	509
218057	472	472
219070	485	485
220097	473	473
221110	467	467
222114	509	509
223122	450	450
224153	481	481
225173	540	540
226179	484	484
227187	446	446
228198	474	474
229201	455	455
230220	516	516
231232	513	513
232235	536	536
233255	495	495
234283	484	484
235326	489	489
236362	553	553
237366	494	494
238380	501	501
239381	447	447
240404	462	462
241419	494	494
242436	466	466
243439	450	450
244455	432	432
245455	481	481
246505	489	489
247536	455	455
248543	462	462
249563	489	489
250569	526	526
251574	479	479
252589	473	473
253707	467	467
254749	500	500
255757	494	494
256769	447	447
257799	503	503
258813	471	471
259828	500	500
260847	523	523
261850	466	466
262854	475	475
263882	482	482
264906	490	490
265910	475	475
266921	470	470
268002	448	448
269007	462	462
270056	477	477
271057	479	479
272073	490	490
273083	474	474
274100	489	489
275100	465	465
276118	465	465
277183	479	479
278185	447	447
279191	430	430
280209	476	476
281296	462	462
282305	455	455
283314	514	514
284322	451	451
285371	479	479
286387	441	441
287399	524	524
288411	498	498
289437	490	490
290456	452	452
291463	477	477
292500	487	487
293519	489	489
294536	497	497
295538	483	483
296548	478	478
297563	450	450
298574	470	470
299611	492	492
300636	468	468
301650	483	483
302663	502	502
303666	497	497
304670	467	467
305749	430	430
306767	473	473
307778	482	482
308794	476	476
309812	460	460
310837	479	479
311848	455	455
312945	489	489
313946	501	501
314955	461	461
315967	459	459
317030	464	464
318055	474	474
319055	468	468
320067	479	479
321079	493	493
322088	492	492
323089	487	487
324105	466	466
325120	539	539
326166	525	525
327181	529	529
328222	516	516
329228	491	491
330238	513	513
331244	534	534
332249	491	491
333336	461	461
334339	524	524
335384	494	494
336417	469	469
337425	474	474
338431	449	449
339519	494	494
